kierunek,semestr,kod_pracowni,kategoria,nazwa_przedmiotu,prowadzacy
PPP,6,MS,Projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
PPP,6,JP,Projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
PPP,6,GN,Projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
PPP,6,DZ,Projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
PPP,6,PG,Projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
PPP,6,AF,Projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
PPP,6,BM,Projektowe,Pracownia Projektowania Ceramiki,dr Bartłomiej Mejor
PPP,6,MK,Projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka prof. ASP
PPP,6,JK,Projektowe,Pracownia Projektowania Interdyscyplinarnego,dr hab. Jarosław Kozakiewicz prof. ASP
PPP,6,PJ,Projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
PPP,6,BP,Projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
PPP,6,M1,Plastyczne,Pracownia Malarstwa,dr Mikołaj Chylak
PPP,6,RZ2,Plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
